Artist ID,Artist name,Region,Track ID,Track name,Release date,Genre,Popularity,Explicit,Duration,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Valence
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Europe,70LcF31zb1H0PyJoS1Sx1r,Creep,1993-02,art rock,85.0,True,238640,0.0097,0.515,0.43,0.000133,G,0.129,-9.935,Major,0.0372,91.844,0.104
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Europe,10nyNJ6zNy2YVYLrcwLccB,No Surprises,1997-05,art rock,82.0,False,229120,0.0577,0.255,0.393,0.00361,F,0.113,-10.654,Major,0.0278,76.426,0.118
0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,Europe,46gSk82duJtX3TTA182ruG,This fffire - New Version,2004-11,indie rock,76.0,False,218080,0.0259,0.442,0.887,4.57e-06,E,0.0655,-5.943,Minor,0.1,146.358,0.637
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Europe,63OQupATfueTdZMWTxW03A,Karma Police,1997-05,art rock,76.0,False,264066,0.0638,0.36,0.501,9.32e-05,G,0.172,-9.129,Major,0.0258,74.807,0.324
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Europe,2a1iMaoWQ5MnvLFBDv4qkf,High and Dry,1995-03,art rock,75.0,False,257480,0.0724,0.419,0.383,0.0176,E,0.0896,-11.782,Major,0.0256,87.568,0.35
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Europe,73CKjW3vsUXRpy3NnX4H7F,Fake Plastic Trees,1995-03,art rock,72.0,False,290706,0.167,0.463,0.229,0.0997,D,0.202,-12.592,Major,0.0297,73.543,0.135
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Europe,0z1o5L7HJx562xZSATcIpY,Exit Music (For A Film),1997-05,art rock,73.0,False,267186,0.224,0.293,0.276,0.122,E,0.167,-11.357,Minor,0.0349,121.603,0.195
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Europe,4wajJ1o7jWIg62YqpkHC7S,Weird Fishes/ Arpeggi,2007-12,art rock,71.0,False,318186,0.772,0.531,0.61,0.756,B,0.0908,-8.025,Minor,0.0387,152.958,0.199
0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,Europe,20I8RduZC2PWMWTDCZuuAN,Take Me Out,2004-02,indie rock,79.0,False,237026,0.000409,0.277,0.663,0.00051,E,0.136,-8.821,Minor,0.0377,104.561,0.527
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Europe,35YyxFpE0ZTOoqFx5bADW8,Nude,2007-12,art rock,69.0,False,255386,0.832,0.516,0.342,0.579,E,0.0857,-9.785,Major,0.0342,128.378,0.167
